# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cpu-clock'
# Event count (approx.): 596077250000
#
# Overhead  Command          Shared Object       Symbol                                                
# ........  ...............  ..................  ......................................................
#
     0.01%  7_scheduler      [kernel.kallsyms]   [k] __fget_light
     0.01%  4_scheduler      [kernel.kallsyms]   [k] clear_page_c_e
     0.01%  6_scheduler      beam.smp            [.] erts_sspa_process_remote_frees
     0.01%  5_scheduler      beam.smp            [.] get_sys_now
     0.01%  3_scheduler      [kernel.kallsyms]   [k] path_put
     0.01%  5_scheduler      [kernel.kallsyms]   [k] __fget_light
     0.01%  6_scheduler      [kernel.kallsyms]   [k] __fget_light
     0.01%  7_scheduler      [kernel.kallsyms]   [k] ret_from_sys_call
     0.01%  8_scheduler      [kernel.kallsyms]   [k] __fget_light
     0.01%  4_scheduler      [kernel.kallsyms]   [k] path_put
     0.01%  6_scheduler      beam.smp            [.] get_sys_now
     0.01%  7_scheduler      beam.smp            [.] pthread_getspecific@plt
     0.01%  5_scheduler      [kernel.kallsyms]   [k] ret_from_sys_call
     0.01%  1_scheduler      beam.smp            [.] dealloc_block.part.24
     0.01%  6_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  7_scheduler      beam.smp            [.] dealloc_block.part.24
     0.01%  1_scheduler      [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.01%  5_scheduler      [kernel.kallsyms]   [k] sysret_signal
     0.01%  7_scheduler      beam.smp            [.] erts_proc_sig_queue_flush_get_buffers
     0.01%  3_scheduler      beam.smp            [.] erts_proc_sig_queue_flush_get_buffers
     0.01%  6_scheduler      [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.01%  5_scheduler      [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.01%  7_scheduler      [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.01%  2_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  1_scheduler      [kernel.kallsyms]   [k] sysret_signal
     0.01%  5_scheduler      beam.smp            [.] pthread_getspecific@plt
     0.01%  3_scheduler      [kernel.kallsyms]   [k] ret_from_sys_call
     0.01%  4_scheduler      beam.smp            [.] do_minor
     0.01%  5_scheduler      beam.smp            [.] do_minor
     0.01%  4_scheduler      [kernel.kallsyms]   [k] sysret_signal
     0.01%  8_scheduler      beam.smp            [.] get_sys_now
     0.01%  3_scheduler      beam.smp            [.] pthread_getspecific@plt
     0.01%  6_scheduler      beam.smp            [.] erts_proc_sig_queue_flush_get_buffers
     0.01%  6_scheduler      beam.smp            [.] do_minor
     0.01%  1_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  8_scheduler      beam.smp            [.] erts_proc_sig_queue_flush_get_buffers
     0.01%  3_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  7_scheduler      beam.smp            [.] do_minor
     0.01%  1_scheduler      beam.smp            [.] get_sys_now
     0.01%  2_scheduler      beam.smp            [.] erts_proc_sig_queue_flush_get_buffers
     0.01%  1_scheduler      beam.smp            [.] pthread_getspecific@plt
     0.01%  4_scheduler      beam.smp            [.] dealloc_block.part.24
     0.01%  7_scheduler      [kernel.kallsyms]   [k] path_put
     0.01%  8_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  8_scheduler      [kernel.kallsyms]   [k] path_put
     0.01%  8_scheduler      beam.smp            [.] pthread_getspecific@plt
     0.01%  8_scheduler      [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.01%  6_scheduler      beam.smp            [.] dealloc_block.part.24
     0.01%  7_scheduler      beam.smp            [.] get_sys_now
     0.01%  3_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  5_scheduler      beam.smp            [.] erts_sys_hrtime
     0.01%  4_scheduler      [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.01%  1_scheduler      beam.smp            [.] erts_proc_sig_queue_flush_get_buffers
     0.01%  3_scheduler      [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.01%  4_scheduler      beam.smp            [.] get_sys_now
     0.01%  2_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  3_scheduler      beam.smp            [.] do_minor
     0.01%  3_scheduler      beam.smp            [.] get_sys_now
     0.01%  5_scheduler      beam.smp            [.] dealloc_block.part.24
     0.01%  1_scheduler      beam.smp            [.] do_minor
     0.01%  6_scheduler      beam.smp            [.] pthread_getspecific@plt
     0.01%  1_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  4_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  4_scheduler      beam.smp            [.] pthread_getspecific@plt
     0.01%  5_scheduler      [kernel.kallsyms]   [k] path_put
     0.01%  5_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  1_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  4_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  6_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  2_scheduler      [kernel.kallsyms]   [k] sysret_signal
     0.01%  3_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  5_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  2_scheduler      beam.smp            [.] do_minor
     0.01%  8_scheduler      [kernel.kallsyms]   [k] sysret_signal
     0.01%  1_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  2_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  4_scheduler      beam.smp            [.] erts_proc_sig_queue_flush_get_buffers
     0.01%  2_scheduler      beam.smp            [.] get_sys_now
     0.01%  3_scheduler      beam.smp            [.] dealloc_block.part.24
     0.01%  5_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  1_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  7_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  7_scheduler      [kernel.kallsyms]   [k] dput
     0.01%  4_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  6_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  8_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  4_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  6_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  8_scheduler      beam.smp            [.] dealloc_block.part.24
     0.01%  1_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  7_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  7_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  8_scheduler      beam.smp            [.] do_minor
     0.01%  5_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  8_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  8_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  5_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  5_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  2_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  4_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  6_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  1_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  6_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  5_scheduler      beam.smp            [.] new_message_buffer
     0.01%  1_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  2_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  3_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  6_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  8_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  3_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  5_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  2_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  7_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  8_scheduler      libc-2.17.so        [.] __memcpy_ssse3_back
     0.01%  4_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  7_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  2_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  4_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  5_scheduler      [kernel.kallsyms]   [k] futex_wake
     0.01%  7_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  1_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  7_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  8_scheduler      beam.smp            [.] new_message_buffer
     0.01%  8_scheduler      beam.smp            [.] sched_yield@plt
     0.01%  2_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  7_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  2_scheduler      beam.smp            [.] new_message_buffer
     0.01%  6_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  3_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  4_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  3_scheduler      beam.smp            [.] erts_thr_progress_finalize_wait
     0.01%  1_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  3_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  3_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  3_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  4_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  2_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  4_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  1_scheduler      beam.smp            [.] new_message_buffer
     0.01%  6_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  8_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  4_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  2_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  4_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  3_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  4_scheduler      [kernel.kallsyms]   [k] __schedule
     0.01%  4_scheduler      beam.smp            [.] new_message_buffer
     0.01%  6_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  5_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  7_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  8_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  1_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  8_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  2_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  8_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  5_scheduler      [kernel.kallsyms]   [k] futex_wait_setup
     0.01%  3_scheduler      beam.smp            [.] new_message_buffer
     0.01%  2_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  6_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  7_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  1_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  5_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  7_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  5_scheduler      beam.smp            [.] beam_jit_wait_timeout
     0.01%  5_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  3_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  8_scheduler      [kernel.kallsyms]   [k] kfree
     0.01%  2_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  6_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  8_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  8_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  4_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  6_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  7_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  7_scheduler      beam.smp            [.] new_message_buffer
     0.01%  5_scheduler      [kernel.kallsyms]   [k] sys_futex
     0.01%  6_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  7_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  8_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  2_scheduler      beam.smp            [.] fixed_apply
     0.01%  6_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.01%  5_scheduler      beam.smp            [.] enqueue_process
     0.01%  6_scheduler      beam.smp            [.] handle_aux_work
     0.01%  5_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  6_scheduler      perf-16408.map      [.] $gen_server:decode_msg/9
     0.01%  3_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  5_scheduler      beam.smp            [.] fixed_apply
     0.01%  6_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.01%  2_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.01%  4_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  6_scheduler      beam.smp            [.] new_message_buffer
     0.01%  1_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  1_scheduler      perf-16408.map      [.] $gen_server:try_dispatch/3
     0.01%  4_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  7_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  2_scheduler      beam.smp            [.] handle_aux_work
     0.01%  7_scheduler      beam.smp            [.] enqueue_process
     0.01%  3_scheduler      beam.smp            [.] handle_aux_work
     0.01%  4_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  3_scheduler      beam.smp            [.] fixed_apply
     0.01%  8_scheduler      beam.smp            [.] enqueue_process
     0.01%  8_scheduler      beam.smp            [.] handle_aux_work
     0.01%  3_scheduler      beam.smp            [.] erts_get_monotonic_time
     0.01%  4_scheduler      beam.smp            [.] handle_aux_work
     0.01%  3_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  7_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  2_scheduler      beam.smp            [.] wakeup_other_check
     0.01%  6_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  7_scheduler      beam.smp            [.] fixed_apply
     0.01%  4_scheduler      beam.smp            [.] fixed_apply
     0.01%  8_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  8_scheduler      beam.smp            [.] fixed_apply
     0.01%  7_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  8_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  4_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  5_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  6_scheduler      beam.smp            [.] fixed_apply
     0.01%  2_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  6_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  8_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  5_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  1_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  3_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  1_scheduler      beam.smp            [.] handle_aux_work
     0.01%  4_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  5_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  6_scheduler      beam.smp            [.] enqueue_process
     0.01%  3_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  5_scheduler      beam.smp            [.] handle_aux_work
     0.01%  7_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  5_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  1_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  4_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  2_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  6_scheduler      beam.smp            [.] garbage_collect
     0.01%  7_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  2_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  6_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  7_scheduler      beam.smp            [.] handle_aux_work
     0.01%  3_scheduler      beam.smp            [.] enqueue_process
     0.01%  1_scheduler      beam.smp            [.] fixed_apply
     0.01%  3_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  1_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  5_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  6_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  8_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  6_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  8_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  1_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  2_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  5_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  6_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  1_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  1_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  2_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  1_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  1_scheduler      beam.smp            [.] enqueue_process
     0.01%  2_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  4_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  7_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  8_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  2_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  2_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  7_scheduler      beam.smp            [.] erts_alloc_message_ref
     0.01%  7_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  7_scheduler      beam.smp            [.] erts_thr_progress_active
     0.01%  3_scheduler      [kernel.kallsyms]   [k] do_futex
     0.01%  6_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  6_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  3_scheduler      [kernel.kallsyms]   [k] osq_lock
     0.01%  6_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  8_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  3_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  3_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  3_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  7_scheduler      [kernel.kallsyms]   [k] tracesys
     0.01%  8_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  1_scheduler      [kernel.kallsyms]   [k] tracesys
     0.01%  1_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  4_scheduler      beam.smp            [.] enqueue_process
     0.01%  2_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  8_scheduler      [kernel.kallsyms]   [k] sysret_audit
     0.01%  4_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  3_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  6_scheduler      [kernel.kallsyms]   [k] tracesys
     0.01%  1_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  4_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  5_scheduler      beam.smp            [.] do_erts_alcu_free
     0.01%  5_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  1_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  1_scheduler      beam.smp            [.] garbage_collect
     0.01%  2_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.01%  8_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  2_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  6_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  2_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  2_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  2_scheduler      beam.smp            [.] garbage_collect
     0.01%  8_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  1_scheduler      [kernel.kallsyms]   [k] _raw_qspin_lock
     0.01%  7_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  8_scheduler      beam.smp            [.] garbage_collect
     0.01%  5_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  3_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  4_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  1_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  8_scheduler      beam.smp            [.] erts_check_io
     0.01%  8_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.01%  4_scheduler      beam.smp            [.] erts_get_scheduler_data
     0.01%  7_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  7_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.01%  5_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  4_scheduler      [kernel.kallsyms]   [k] tracesys
     0.01%  8_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.01%  3_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  8_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  3_scheduler      beam.smp            [.] garbage_collect
     0.01%  4_scheduler      beam.smp            [.] garbage_collect
     0.01%  5_scheduler      beam.smp            [.] garbage_collect
     0.01%  2_scheduler      beam.smp            [.] erts_alloc_notify_delayed_dealloc
     0.01%  7_scheduler      beam.smp            [.] ethr_tsd_get
     0.01%  2_scheduler      beam.smp            [.] enqueue_process
     0.01%  4_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  5_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  4_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.01%  4_scheduler      [kernel.kallsyms]   [k] __do_page_fault
     0.01%  6_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  7_scheduler      [kernel.kallsyms]   [k] __do_page_fault
     0.01%  5_scheduler      beam.smp            [.] setup_rootset
     0.01%  1_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.01%  3_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.01%  6_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  6_scheduler      beam.smp            [.] setup_rootset
     0.01%  5_scheduler      [kernel.kallsyms]   [k] tracesys
     0.01%  3_scheduler      beam.smp            [.] erts_check_io
     0.01%  5_scheduler      beam.smp            [.] ethr_mutex_unlock
     0.01%  5_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.01%  7_scheduler      [kernel.kallsyms]   [k] do_timerfd_settime
     0.01%  7_scheduler      beam.smp            [.] garbage_collect
     0.01%  1_scheduler      beam.smp            [.] erts_check_io
     0.01%  4_scheduler      [kernel.kallsyms]   [k] __raw_callee_save___pv_queued_spin_unlock
     0.01%  7_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  2_scheduler      libc-2.17.so        [.] timerfd_settime
     0.01%  3_scheduler      [kernel.kallsyms]   [k] __do_page_fault
     0.01%  3_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  4_scheduler      [kernel.kallsyms]   [k] do_timerfd_settime
     0.01%  5_scheduler      [kernel.kallsyms]   [k] __do_page_fault
     0.01%  2_scheduler      beam.smp            [.] handle_delayed_dealloc.isra.36
     0.01%  3_scheduler      beam.smp            [.] ethr_mutex_unlock
     0.01%  7_scheduler      beam.smp            [.] setup_rootset
     0.01%  1_scheduler      [kernel.kallsyms]   [k] do_timerfd_settime
     0.01%  1_scheduler      [kernel.kallsyms]   [k] get_futex_key_refs.isra.12
     0.01%  5_scheduler      [kernel.kallsyms]   [k] auditsys
     0.01%  8_scheduler      [kernel.kallsyms]   [k] get_futex_key_refs.isra.12
     0.01%  1_scheduler      beam.smp            [.] setup_rootset
     0.01%  3_scheduler      libc-2.17.so        [.] timerfd_settime
     0.01%  8_scheduler      [kernel.kallsyms]   [k] futex_wait
     0.01%  1_scheduler      libc-2.17.so        [.] timerfd_settime
     0.01%  3_scheduler      [kernel.kallsyms]   [k] do_timerfd_settime
     0.01%  5_scheduler      [kernel.kallsyms]   [k] do_timerfd_settime
     0.01%  7_scheduler      beam.smp            [.] erts_check_io
     0.01%  1_scheduler      beam.smp            [.] clock_gettime_monotonic
     0.01%  8_scheduler      [kernel.kallsyms]   [k] __do_page_fault
     0.01%  3_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.01%  5_scheduler      beam.smp            [.] erts_check_io
     0.00%  2_scheduler      [kernel.kallsyms]   [k] get_futex_key_refs.isra.12
     0.00%  4_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.00%  1_scheduler      beam.smp            [.] scheduled_tw_timer_destroy
     0.00%  2_scheduler      [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.00%  5_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.00%  5_scheduler      libc-2.17.so        [.] timerfd_settime
     0.00%  6_scheduler      [kernel.kallsyms]   [k] get_futex_key_refs.isra.12
     0.00%  7_scheduler      [kernel.kallsyms]   [k] current_kernel_time
     0.00%  7_scheduler      [kernel.kallsyms]   [k] futex_wait
     0.00%  2_scheduler      [kernel.kallsyms]   [k] do_timerfd_settime
     0.00%  2_scheduler      beam.smp            [.] setup_rootset
     0.00%  3_scheduler      beam.smp            [.] erts_sched_finish_poke
     0.00%  3_scheduler      beam.smp            [.] handle_delayed_dealloc.isra.36
     0.00%  5_scheduler      [kernel.kallsyms]   [k] __do_softirq
     0.00%  8_scheduler      beam.smp            [.] setup_rootset
     0.00%  8_scheduler      beam.smp            [.] handle_delayed_dealloc.isra.36
     0.00%  1_scheduler      beam.smp            [.] ethr_mutex_unlock
     0.00%  4_scheduler      beam.smp            [.] erts_check_io
     0.00%  2_scheduler      beam.smp            [.] erts_check_io
     0.00%  6_scheduler      [kernel.kallsyms]   [k] do_timerfd_settime
     0.00%  5_scheduler      beam.smp            [.] handle_delayed_dealloc.isra.36
     0.00%  8_scheduler      libc-2.17.so        [.] timerfd_settime
     0.00%  1_scheduler      [kernel.kallsyms]   [k] __do_page_fault
     0.00%  2_scheduler      [kernel.kallsyms]   [k] __do_page_fault
     0.00%  7_scheduler      beam.smp            [.] handle_delayed_dealloc.isra.36
     0.00%  3_scheduler      beam.smp            [.] setup_rootset
     0.00%  4_scheduler      [kernel.kallsyms]   [k] futex_wait
     0.00%  5_scheduler      [kernel.kallsyms]   [k] get_futex_key_refs.isra.12
     0.00%  1_scheduler      beam.smp            [.] ethr_mutex_lock
     0.00%  4_scheduler      [kernel.kallsyms]   [k] get_futex_key_refs.isra.12
     0.00%  4_scheduler      beam.smp            [.] setup_rootset
     0.00%  5_scheduler      beam.smp            [.] term_to_Sint64
     0.00%  6_scheduler      libc-2.17.so        [.] timerfd_settime
     0.00%  4_scheduler      libc-2.17.so        [.] timerfd_settime
     0.00%  6_scheduler      beam.smp            [.] erts_poll_wait
     0.00%  3_scheduler      [kernel.kallsyms]   [k] futex_wait
     0.00%  6_scheduler      beam.smp            [.] erts_check_io
